Emp_ID,PWM_Value,Mean,Blur,Texture,Status,Max High Texture,Min High Texture,Max low Texture,Min low Texture,texture_framecount,texture_iriscount,average_textureff,max_texture_iris_count,max_high_meanvalue,min_high_meanvalue,max_low_meanvalue,min_low_meanvalue,average_high_mean,average_low_mean,iris_mean,pupil_mean,mean ratio,Laplcian count,max_lap,min_lap,magnitude,average_mag
MN00,17,238,947,219.537195,Not Captured,220.221588,219.537201,199.075592,197.953323,5265,4515,2809,4515,240,238,212,208,239,210,191.000000,127.000000,1.503937,0.000000,0.000000,0.000000,19.000000,22
MN00,11,208,3731,198.172037,Not Captured,220.221588,219.537201,199.075592,197.953323,808,204,2809,4515,240,238,212,208,239,210,112.000000,69.000000,1.623188,0.000000,0.000000,0.000000,20.000000,22
MN00,11,209,3652,198.108619,Not Captured,220.221588,219.537201,199.075592,197.953323,1271,325,2809,4515,240,238,212,208,239,210,114.000000,74.000000,1.540541,0.000000,0.000000,0.000000,22.000000,22
MN00,11,210,3530,197.953326,Not Captured,220.221588,219.537201,199.075592,197.953323,2232,825,2809,4515,240,238,212,208,239,210,117.000000,74.000000,1.581081,0.000000,0.000000,0.000000,24.000000,22
MN00,11,211,3395,198.204136,Not Captured,220.221588,219.537201,199.075592,197.953323,4114,1675,2809,4515,240,238,212,208,239,210,120.000000,77.000000,1.558442,0.000000,0.000000,0.000000,27.000000,22
MN00,11,212,3270,198.589171,Not Captured,220.221588,219.537201,199.075592,197.953323,2784,900,2809,4515,240,238,212,208,239,210,122.000000,83.000000,1.469880,0.000000,0.000000,0.000000,25.000000,22
MN00,11,212,3274,198.539949,Not Captured,220.221588,219.537201,199.075592,197.953323,3287,1275,2809,4515,240,238,212,208,239,210,122.000000,81.000000,1.506173,0.000000,0.000000,0.000000,26.000000,22
MN00,11,211,3325,199.075599,Not Captured,220.221588,219.537201,199.075592,197.953323,850,383,2809,4515,240,238,212,208,239,210,121.000000,81.000000,1.493827,0.000000,0.000000,0.000000,21.000000,22

MN00,17,238,940,217.183182,Not Captured,217.183182,216.788559,190.229233,189.825531,3856,3199,1855,3199,238,236,205,203,237,203,188.000000,129.000000,1.457364,0.000000,0.000000,0.000000,19.000000,23
MN00,17,236,1052,216.788562,Not Captured,217.183182,216.788559,190.229233,189.825531,451,311,1855,3199,238,236,205,203,237,203,182.000000,127.000000,1.433071,0.000000,0.000000,0.000000,14.000000,23
MN00,11,203,3729,190.116732,Not Captured,217.183182,216.788559,190.229233,189.825531,1237,224,1855,3199,238,236,205,203,237,203,110.000000,71.000000,1.549296,0.000000,0.000000,0.000000,24.000000,23
